Title,Developer,Publisher,first_released,region_first_released_in,Excluded,released_in_eu_pal_or_na,Physical_Owned,type_owned
_Summer,Hooksoft,GN Software,24/08/2006,JP,TRUE,FALSE,FALSE,
¡Qué pasa Neng! El videojuego,Mere Mortals,Phoenix Games,11/12/2006,EU,FALSE,TRUE,FALSE,
.hack//frägment,CyberConnect2,Bandai,23/11/2005,JP,TRUE,FALSE,FALSE,
.hack//G.U.vol.1//Rebirth,CyberConnect2,Bandai,18/05/2006,JP,FALSE,TRUE,FALSE,
.hack//G.U.vol.2//Reminisce,CyberConnect2,Namco Bandai Games,28/09/2006,JP,FALSE,TRUE,FALSE,
.hack//G.U.vol.3//Redemption,CyberConnect2,Namco Bandai Games,18/01/2007,JP,FALSE,TRUE,FALSE,
.hack//Infection Part 1,CyberConnect2,Bandai,20/06/2002,JP,FALSE,TRUE,FALSE,
.hack//Mutation Part 2,CyberConnect2,Bandai,19/09/2002,JP,FALSE,TRUE,FALSE,
.hack//Outbreak Part 3,CyberConnect2,Bandai,12/12/2002,JP,FALSE,TRUE,FALSE,
.hack//Quarantine Part 4,CyberConnect2,Bandai,10/04/2003,JP,FALSE,TRUE,FALSE,
007: NightFire,Eurocom,Electronic Arts,18/11/2002,NA,FALSE,TRUE,TRUE,Base
007: Quantum of Solace,Eurocom,Activision,31/10/2008,EU,FALSE,TRUE,TRUE,Base
10 Pin: Champions Alley,Liquid Games,OG International Ltd,05/04/2005,PAL,FALSE,TRUE,FALSE,
"10,000 Bullets",Blue Moon,"TaitoJP, CyberFrontKO, 505 Game StreetEU",24/02/2005,JP,FALSE,TRUE,FALSE,
120-en no Haru: 120 Yen Stories,Interchannel,Interchannel,24/02/2005,JP,TRUE,FALSE,FALSE,
12Riven: The Psi-Climinal of Integral,CyberFront,CyberFront,13/03/2008,JP,TRUE,FALSE,FALSE,
18 Wheeler American Pro Trucker,Acclaim Studios Cheltenham,"Acclaim Entertainment
Sega",14/11/2001,NA,FALSE,TRUE,FALSE,
187 Ride or Die,Ubisoft,Ubisoft,23/08/2005,NA,FALSE,TRUE,FALSE,
1945 I & II The Arcade Games,Psikyo,Play It!,16/07/2004,JP,FALSE,TRUE,TRUE,Base
2002 FIFA World Cup,EA Canada,EA Sports,22/04/2002,NA,FALSE,TRUE,FALSE,
2003-Toshi Kaimaku – Ganbare Kyuukaiou,Magical Company,Atlus Co.,15/05/2003,JP,TRUE,FALSE,FALSE,
21 Card Games,Mere Mortals,Phoenix Games,28/07/2006,PAL,FALSE,TRUE,FALSE,
24: The Game,SCE Studio Cambridge,2K Games,28/02/2006,NA,FALSE,TRUE,TRUE,Base
25 to Life,Avalanche Software,Eidos Interactive,17/01/2006,NA,FALSE,TRUE,FALSE,
2nd Super Robot Wars Alpha,Banpresto,Banpresto,27/03/2003,JP,TRUE,FALSE,FALSE,
3-Nen B-Gumi Kinpachi Sensei Densetsu no Kyoudan ni Tate!,Chunsoft,Chunsoft,24/06/2004,JP,TRUE,FALSE,FALSE,
3LDK – Shiawase ni Narouyo,PrincessSoft,PrincessSoft,01/07/2004,JP,TRUE,FALSE,FALSE,
3rd Super Robot Wars Alpha: To the End of the Galaxy,Banpresto,Banpresto,28/07/2005,JP,TRUE,FALSE,FALSE,
4x4 EVO,Terminal Reality,Gathering of Developers,26/02/2001,NA,FALSE,TRUE,FALSE,
4x4 EVO 2,Terminal Reality,BAM! Entertainment,04/11/2002,PAL,FALSE,TRUE,FALSE,
50 Cent: Bulletproof,Genuine Games,Vivendi Universal Games,17/11/2005,NA,FALSE,TRUE,TRUE,Base
7 Blades,Konami,Konami,21/12/2000,JP,FALSE,TRUE,FALSE,
7 Sins,Monte Cristo Multimedia,Digital Jesters,20/05/2005,PAL,FALSE,TRUE,FALSE,
7 Wonders of the Ancient World,MumboJumbo,MumboJumbo,20/11/2007,NA,FALSE,TRUE,FALSE,
A-Ressha de Ikou 2001,Artdink,Artdink,08/03/2001,JP,TRUE,FALSE,FALSE,
A-Ressha de Ikou 2001 Perfect Set,Artdink,Artdink,01/01/2002,JP,TRUE,FALSE,FALSE,
A-Train 6,Artdink,"ArtdinkJP, Midas Interactive EntertainmentEU",04/03/2000,JP,FALSE,TRUE,FALSE,
A.C.E.: Another Century's Episode,FromSoftware,Banpresto,27/01/2005,JP,TRUE,FALSE,FALSE,
A.C.E.: Another Century's Episode 2,FromSoftware,Banpresto,30/03/2006,JP,TRUE,FALSE,FALSE,
A.C.E.: Another Century's Episode 2 (Special Vocal Version),FromSoftware,Banpresto,29/11/2007,JP,TRUE,FALSE,FALSE,
A.C.E.: Another Century's Episode 3: The Final,FromSoftware,Banpresto,06/09/2007,JP,TRUE,FALSE,FALSE,
Aa Megami-sama,Marvelous,Marvelous,22/02/2007,JP,TRUE,FALSE,FALSE,
Abarenbō Princess,Alfa System,"Kadokawa Games, ESP",29/11/2001,JP,TRUE,FALSE,FALSE,
AC/DC Live: Rock Band Track Pack,Harmonix Music Systems,MTV Games,02/11/2008,NA,FALSE,TRUE,FALSE,
Ace Combat 04: Shattered Skies,Namco,Namco,01/11/2001,NA,FALSE,TRUE,FALSE,
Ace Combat 5: The Unsung War,Namco,Namco,25/10/2004,NA,FALSE,TRUE,FALSE,
Ace Combat Zero: The Belkan War,Namco,Namco,25/04/2006,NA,FALSE,TRUE,FALSE,
Ace Lightning,Absolute Studios,Gamezlab,14/03/2003,EU,FALSE,TRUE,FALSE,
Aces of War,Marionette,"TaitoJP, 505 Game Street",04/03/2004,JP,FALSE,TRUE,FALSE,
Action Girlz Racing,Data Design Interactive,Metro3D,15/09/2005,EU,FALSE,TRUE,FALSE,
Action Man A..TO.M.: Alpha Teens on Machines,Brain in a Jar,Blast! Entertainment Ltd,25/05/2007,PAL,FALSE,TRUE,FALSE,
Activision Anthology,Contraband Entertainment,Activision,19/11/2002,NA,FALSE,TRUE,FALSE,
Adiboo and the Energy Thieves,Coktel Studio,Vivendi Universal Games,24/09/2004,PAL,FALSE,TRUE,FALSE,
ADK Damashii,SNK Playmore,SNK Playmore,18/12/2008,JP,TRUE,FALSE,FALSE,
Adventure of Tokyo Disney Sea,Konami,Konami,20/12/2001,JP,TRUE,FALSE,FALSE,
Æon Flux,Terminal Reality,Majesco Entertainment,15/11/2005,NA,FALSE,TRUE,FALSE,
Aero Elite: Combat Academy,Sega-AM2,Sega,10/03/2003,NA,FALSE,TRUE,FALSE,
Aerobics Revolution,Konami,Konami,13/03/2003,JP,TRUE,FALSE,FALSE,
AFL Live 2003,IR Gurus,Acclaim Entertainment,05/09/2002,AU,FALSE,TRUE,FALSE,
AFL Live 2004,IR Gurus,Acclaim Entertainment,21/11/2003,AU,FALSE,TRUE,FALSE,
AFL Live Premiership Edition,IR Gurus,Acclaim Entertainment,29/04/2004,AU,FALSE,TRUE,FALSE,
AFL Premiership 2005: The Official Game of the AFL Premiership,IR Gurus,SCE AustraliaAU,22/09/2005,AU,FALSE,TRUE,FALSE,
AFL Premiership 2006,IR Gurus,SCE AustraliaAU,20/07/2006,AU,FALSE,TRUE,FALSE,
AFL Premiership 2007,IR Gurus,SCE AustraliaAU,28/06/2007,AU,FALSE,TRUE,FALSE,
